"name","url"
"Electronics/TV, Audio & Video/TVs","http://uae.souq.com/ae-en/ae_tvs_home_entertainment/c/"
"Electronics/TV, Audio & Video/Speakers & Home Theaters","http://uae.souq.com/ae-en/speaker-or-home-theatre/home-theater-systems-12%7Cspeakers-22/new/a-t-c/s/"
"Electronics/TV, Audio & Video/Headphones","http://uae.souq.com/ae-en/headphones-ae/c/"
"Electronics/TV, Audio & Video/TV Accessories","http://uae.souq.com/ae-en/tv-cable-or-tv-accessories-or-satellite-accessories-or-media-gateways/tv-and-satellite-accessories-28%7Csatellite-receivers-249%7Ctuners-411%7Cmedia-gateways-407%7Ctv-mounts-374/new/a-t-c/s/?sortby=sr"
"Electronics/TV, Audio & Video/MP3 & MP4 Players","http://uae.souq.com/ae-en/mp3-player/new/a-c/l/?sortby=sr"
"Electronics/TV, Audio & Video/Musical Instruments & DJ","http://uae.souq.com/ae-en/music/musical-instruments-320%7Cmusic-cds-3%7Cmusical-instruments-parts-456%7Crecording-and-studio-equipment-252/new/a-t-c/s/?sortby=sr"
"Electronics/Cameras/DSLRS","http://uae.souq.com/ae-en/digital-camera/slr-camera/new/a-5778-c/l/?rpp=50&sortby=sr"
"Electronics/Cameras/Point and Shoot","http://uae.souq.com/ae-en/digital-camera/point-and-shoot%7Ccompact-camera%7Cpoint---and---shoot-camera/new/a-5778-c/l/"
"Electronics/Cameras/Action Cameras","http://uae.souq.com/ae-en/gopro-or-aee-or-goxtreme-or-qrios-or-dji/digital-cameras-14%7Ccamcorders-15/new/a-t-c/s/?rpp=50&sortby=sr"
"Electronics/Cameras/Camcorders","http://uae.souq.com/ae-en/camcorder/new/a-c/l/?sortby=sr"
"Electronics/Cameras/Lenses & Flashes","http://uae.souq.com/ae-en/lens-or-flash/interchangeable-lenses-375%7Celectronic-flashes-397/new/a-t-c/s/?rpp=50&sortby=sr"
"Electronics/Cameras/Camera Accessories","http://uae.souq.com/ae-en/camera-camcorder-accessories/new/a-c/l/?sortby=sr"
"Electronics/Laptops/Macbooks","http://uae.souq.com/ae-en/laptop-notebook/apple/new/a-7-c/l/?sortby=sr"
"Electronics/Laptops/Everyday Use","http://uae.souq.com/ae-en/celeron-or-i3-or-i5/laptops---and---notebooks-75/new/99-1999-aed/a-t-c-cp/s/?rpp=50&sortby=sr"
"Electronics/Laptops/Gaming Laptops","http://uae.souq.com/ae-en/alienware-or-msi-or-razer-or-asus/laptops---and---notebooks-75/new/2500-9999-aed/a-t-c-cp/s/?rpp=50&sortby=ir_desc"
"Electronics/Laptops/High Performance","http://uae.souq.com/ae-en/i7/laptops---and---notebooks-75/new/a-t-c/s/?rpp=50&sortby=sr"
"Electronics/Laptops/2 in 1 laptops","http://uae.souq.com/ae-en/flex-or-yoga-or-x360/laptops---and---notebooks-75/new/a-t-c/s/?rpp=50&sortby=sr"
"Electronics/Laptops/Software","http://uae.souq.com/ae-en/software/new/a-c/l/?sortby=sr"
"Electronics/Small Appliances/Food Preparation","http://uae.souq.com/ae-en/processor-or-chopper-or-slicer/food-preparation-392%7Cfood-processors-506%7Celectric-slicers-391/full-size-food-processors%7Cchoppers%7Chand-blenders%7Cmini-food-processor%7Ccountertop-blenders/new/a-t-72-c/s/?sortby=sr"
"Electronics/Small Appliances/Vaccum Cleaners","http://uae.souq.com/ae-en/vacuums/vacuum-cleaners-413%7Cvacuums-and-floor-care-253/new/a-t-c/s/?sortby=sr"
"Electronics/Small Appliances/Irons","http://uae.souq.com/ae-en/irons/irons-393/new/a-t-c/s/?sortby=sr"
"Electronics/Small Appliances/Juice Extractors","http://uae.souq.com/ae-en/juicer/juice-extractors-384/new/a-t-c/s/?sortby=ir_desc"
"Electronics/Small Appliances/Coffee & Tea Maker","http://uae.souq.com/ae-en/coffee-machines-or-hot-beverage-makers-or-kettles/coffee---and---espresso-makers-418/new/a-t-c/s/?sortby=sr"
"Electronics/Small Appliances/Power Tools","http://uae.souq.com/ae-en/power-tools/power-tools-97/new/a-t-c/s/?sortby=sr"
"Electronics/Large Appliances/Refrigerators","http://uae.souq.com/ae-en/refrigerators/refrigerators---and---freezers-531/new/a-t-c/s/"
"Electronics/Large Appliances/Washing Machines","http://uae.souq.com/ae-en/washing-machine/washing-machines-519%7Cwashers-dryers-2-in-1-552/new/a-t-c/s/"
"Electronics/Large Appliances/Cooking","http://uae.souq.com/ae-en/oven/ovens---and---ranges-551/free-standing/new/a-t-6582-c/s/"
"Electronics/Large Appliances/Dish Washers","http://uae.souq.com/ae-en/dishwasher/dishwashers-520/new/a-t-c/s/"
"Electronics/Large Appliances/Microwaves","http://uae.souq.com/ae-en/microwave/microwaves-444/new/a-t-c/s/"
"Electronics/Large Appliances/Water Dispensers","http://uae.souq.com/ae-en/water-dispenser/new/a-c/s/"
"Electronics/IT Accessories & Gaming/Game Console & Titles","http://uae.souq.com/ae-en/games-ae/c/"
